abide by,v,"tuân theo, chấp hành (luật, quy định, thỏa thuận)","Employees must abide by company policies.","Nhân viên phải tuân theo các chính sách của công ty."
agree,v,"đồng ý","We agree to the terms.","Chúng tôi đồng ý với các điều khoản."
agreement,n,"thỏa thuận, hợp đồng","The two companies reached an agreement.","Hai công ty đã đạt được một thỏa thuận."
agreeable,adj,"dễ chịu, dễ đồng ý","The proposal is agreeable to both sides.","Đề xuất này được cả hai bên chấp nhận."
assure,v,"đảm bảo (với người)","The company assured customers of safety.","Công ty đảm bảo với khách hàng về sự an toàn."
assurance,n,"sự đảm bảo, lời cam kết","The manager gave assurance of quality.","Người quản lý đã đưa ra sự đảm bảo về chất lượng."
assured,adj,"chắc chắn, tự tin","She sounded assured during the presentation.","Cô ấy tỏ ra rất tự tin trong bài thuyết trình."
cancel,v,"hủy","They canceled the meeting.","Họ đã hủy cuộc họp."
cancellation,n,"sự hủy bỏ","We received a flight cancellation notice.","Chúng tôi nhận được thông báo hủy chuyến bay."
cancelled,adj,"đã bị hủy","The cancelled flight was rescheduled.","Chuyến bay bị hủy đã được sắp xếp lại."
determine,v,"xác định, quyết định","The test results will determine the outcome.","Kết quả bài kiểm tra sẽ quyết định kết quả."
determination,n,"sự quyết tâm","Her determination impressed everyone.","Sự quyết tâm của cô ấy gây ấn tượng với mọi người."
determined,adj,"quyết tâm","He is determined to succeed.","Anh ấy quyết tâm thành công."
engage,v,"thuê; tham gia","The company engaged a new consultant.","Công ty đã thuê một cố vấn mới."
engagement,n,"sự tham gia","Employee engagement is increasing.","Mức độ gắn kết của nhân viên đang tăng."
engaged,adj,"đang bận","The manager is currently engaged.","Người quản lý hiện đang bận."
establish,v,"thành lập, thiết lập","The company was established in 2005.","Công ty được thành lập năm 2005."
establishment,n,"sự thành lập; tổ chức","The establishment of the office took time.","Việc thành lập văn phòng mất thời gian."
established,adj,"lâu đời, vững chắc","An established brand attracts customers.","Một thương hiệu lâu đời thu hút khách hàng."
obligate,v,"bắt buộc, ràng buộc","The contract obligates both parties.","Hợp đồng ràng buộc trách nhiệm của cả hai bên."
obligation,n,"nghĩa vụ","Employees have legal obligations.","Nhân viên có các nghĩa vụ pháp lý."
obligatory,adj,"mang tính bắt buộc","Attendance is obligatory.","Việc tham dự là bắt buộc."
provide,v,"cung cấp","The company provides training.","Công ty cung cấp đào tạo."
provision,n,"điều khoản; sự cung cấp","The contract includes a termination provision.","Hợp đồng bao gồm điều khoản chấm dứt."
provisional,adj,"tạm thời","The schedule is provisional.","Lịch trình mang tính tạm thời."
resolve,v,"giải quyết","The issue was resolved quickly.","Vấn đề đã được giải quyết nhanh chóng."
resolution,n,"giải pháp","A resolution was proposed.","Một giải pháp đã được đề xuất."
resolved,adj,"kiên quyết","She is resolved to improve.","Cô ấy kiên quyết cải thiện."
specific,adj,"cụ thể, rõ ràng","Please provide specific details.","Vui lòng cung cấp thông tin cụ thể."
specifically,adv,"một cách cụ thể","He specifically asked for you.","Anh ấy đích thân yêu cầu gặp bạn."
specify,v,"chỉ rõ","Please specify the time.","Vui lòng chỉ rõ thời gian."
